Stock Code,Market Value of Equity,Total Market Value,Stock Return,Total Investment Expenditure,Amortization and Depreciation,Book Value,Operating Income after Depreciation,Annual Dividends,Leverage,Cash,Age,Size,Investment2019,Investment2018,V/P,Difference
900956,153180.0,313020.0,0.073942,1945.386,1282.8825,75058.2,12609.7776,3366.810619,0.7570899999999999,2983.0806,0.0,7.485702801,426.652254,662.5035,0.5281434753281943,-235.851246
900933,1526013.44,1526013.44,0.07117000000000001,24721.41773,14497.127680000001,656185.7792,131237.1558,26247.43117,0.43887,83686.57705,0.477121255,6.549982341000001,14590.0619,10224.29005,0.48289343996340167,4365.771850000001
900953,114720.0,305920.0,0.064595,1300.16,1132.86,26385.6,6306.1584,1690.050451,0.46263000000000004,7210.5344,0.477121255,5.952080411,257.642,167.30000000000018,0.2699262203522594,90.34199999999981
900951,35000.0,96250.0,-0.035813,500.5,319.375,5600.0,1430.8,283.2984,1.01519,1785.4375,1.380211242,5.573847793,380.72475,181.125,0.191761721088,199.59974999999997
900922,31516.53,31516.53,0.031948000000000004,485.354562,185.15961380000002,5042.6448,950.5385447999998,182.5034006,1.27798,820.6904412,1.0791812459999999,5.700600262000001,385.7505085,300.1949482,0.17721654886400756,85.55556030000002
900915,52348.23,52348.23,0.036364999999999995,671.802285,451.5034838,9946.1637,2466.648598,443.9967476,0.3115,1784.5511609999999,0.301029996,3.821806093,222.5017893,220.29880119999996,0.22590619393052103,2.2029881000000557
900916,76876.8,76876.8,0.05411799999999999,877.6768,768.768,37669.632000000005,8324.988672,1923.0723829999997,1.24443,2168.694528,0.0,3.848741705,132.868736,108.90879999999993,0.5637589214884492,23.959936000000084
900948,1075680.0,2635745.67,0.12344000000000001,14306.544,5781.78,344217.6,92594.5344,21018.95931,1.2197200000000001,147127.3233,1.255272505,5.825845817,5268.304152000001,8524.764,0.389024328191834,-3256.4598479999986
900924,111726.24,111726.24,0.082741,703.875312,837.9468,42455.9712,9340.313664,1419.7276769999999,0.56262,4091.4149090000005,1.431363764,5.64,1953.0882510000001,-134.07148800000004,0.437668848639904,2087.159739
900947,642297.43,642297.43,0.061092999999999995,4688.771239,5620.102513,250495.9977,41582.33562,6237.350343,0.50615,18774.353880000002,1.204119983,5.09,28048.31772,-931.3312740000001,0.4204339152038294,28979.648994
900921,58913.26,58913.26,0.160306,1042.764702,508.1268675,29456.63,5405.291604999999,1016.194822,0.16021,2633.422722,0.0,3.824646415,560.8350884,534.6378344999999,0.5504557487993432,26.197253900000078
900936,366660.0,366660.0,0.20746900000000001,6269.8859999999995,2016.63,212662.8,62522.8632,14317.735669999998,1.20143,11267.4618,1.361727836,6.650113602,4912.510679999999,4253.255999999999,0.7247036728971362,659.25468
900946,42320.0,42320.0,0.063584,504.31333330000007,444.36,15235.2,4349.6496,1104.8109980000002,0.45476000000000005,945.852,0.0,4.5166121519999995,34.1734,59.953333300000054,0.4452882733454064,-25.779933300000053
900920,152745.2,152745.2,0.0,1878.7659600000002,1183.7753,36658.848,9751.253568,1842.9869239999998,1.16965,4580.8285479999995,1.5051499780000002,4.982463989,843.0236706000001,694.9906600000002,0.29115360691234293,148.0330105999999
900918,99187.5,99187.5,0.196831,1428.3,657.1171875,15870.0,4102.395,1144.568205,1.01114,3906.995625,1.342422681,5.736712907,481.98925779999996,771.1828125,0.19191569932799998,-289.1935547
900925,320676.52,320676.52,0.087243,5098.756668,2164.56651,182785.6164,49534.90204,9015.352171999999,0.29003,15841.420090000001,1.51851394,4.524056811,2496.9958239999996,2934.190158,0.6955286412289816,-437.19433400000025
600759,6255169.73,6269915.82,0.025925999999999998,86946.85925,40658.60325,3502895.0489999996,1038608.382,171370.383,1.23013,75991.37974,1.342422681,8.349356321,90447.25223,46288.255999999994,0.7031917379546468,44158.996230000004
655,3292231.47,3292231.47,0.075876,48725.025760000004,25926.32283,1547348.791,429389.2895,91889.30795,0.17322,173105.5307,0.84509804,5.5560170520000005,36660.31431,22798.702930000003,0.5770450906763976,13861.611379999998
600766,1668293.94,1670489.82,0.073487,23856.60334,13137.81478,834146.97,155151.3364,27151.48387,1.0805200000000001,51384.26686,0.84509804,5.964368705,10225.72429,10718.78856,0.5523366799836629,-493.06427000000076
505,2233702.93,3414484.5,-0.009009,36185.98747,12843.79185,1139188.494,192522.8555,35039.15971,0.61458,183050.514,1.397940009,5.908704672000001,29854.6682,23342.19562,0.5514785087587057,6512.4725800000015
639,4875859.72,4889809.27,-0.025806,85815.13107,43273.25502,1804068.096,525885.8501,99918.31152,0.5594899999999999,42688.03493,1.0,5.388282014,31480.98828,42541.876050000006,0.46168374736997225,-11060.887770000005
600882,5919568.14,5968425.72,0.099547,71034.81768,58455.73538,2900588.389,791860.6301,121946.537,0.56095,97165.97072,0.477121255,7.2008770339999995,13409.30173,12579.082299999995,0.5998024097572225,830.2194300000046
600137,1514650.02,1514650.02,0.128168,26960.770360000002,13253.18768,530127.507,135182.5143,21629.20229,0.44835,62176.38332000001,1.5051499780000002,6.15766381,8457.578514,13707.582680000003,0.4197455360133214,-5250.004166000002
600735,2496588.85,2496588.85,0.074434,32455.65505,15291.60671,1198362.648,240271.7109,49495.97245,1.10016,116915.2558,1.204119983,6.006380537,17009.57191,17164.04834,0.5392840865146699,-154.47643000000244
600793,1698489.0,2038186.8,-0.039881,24797.9394,17834.1345,305728.02,83922.34148999999,18714.68215,0.71799,84707.04341,1.51851394,6.1185311570000005,7096.117193000001,6963.804899999999,0.2201970656161989,132.31229300000177
509,1981151.7,1981159.48,0.052632000000000005,34075.809239999995,19563.873040000002,1030198.8840000001,233340.0472,41767.86845,0.16463,83307.75613,1.491361694,6.085406135,18401.1351,14511.936199999993,0.6030597701260334,3889.1989000000067
659,3497110.85,3497110.85,0.038168,43713.885630000004,27976.8868,1678613.208,494351.5898,119633.0847,0.7388899999999999,119915.931,1.4471580309999998,5.288036752,12227.64809,15736.998830000004,0.5998064509623651,-3509.3507400000035
637,1641897.45,2329041.59,0.082126,26270.3592,16213.737319999998,311960.5155,79705.91171,14586.181840000001,0.74133,116452.0795,1.255272505,5.769307767000001,16281.670830000001,10056.62188,0.22782539623205822,6225.04895
819,2307580.12,2307730.54,0.053315999999999995,29075.509510000004,15864.613330000002,484591.8252,144650.6598,38621.72617,0.82845,103732.4878,1.491361694,5.580916693,11691.64313,13210.896180000002,0.26331847801080205,-1519.2530500000012
600691,3688420.9,4989562.1,0.014493,59014.7344,36884.209,1917978.868,312630.5555,69403.98332,0.59842,35276.20405,0.6989700040000001,5.5642518370000005,31093.388189999998,22130.5254,0.5575387600699215,8962.86279
677,3188078.63,3188078.63,-0.028947000000000004,46864.755860000005,20324.001269999997,1083946.7340000002,223835.0006,46781.51513,0.52649,124653.8744,0.301029996,6.181507477,15552.88219,26540.754590000008,0.38473217310914826,-10987.872400000007
703,31774562.56,39556818.6,-0.000718,387649.6632,301858.3443,5719421.261,1549963.1619999998,322392.3376,0.2756,122230.5695,0.6989700040000001,5.574666038999999,96257.85982,85791.31890000001,0.2194519035076189,10466.540919999985
672,14749304.76,14881107.44,0.150314,196165.7533,132743.7428,3687326.19,849928.6868,185284.4537,0.21343,184525.7323,1.230448921,6.232238505,132425.1579,63422.010500000004,0.2909603372006858,69003.14739999999
600668,5436524.48,5436524.48,0.143271,80460.5623,50287.85144,2826992.73,660102.8024,125419.5324,1.09112,151787.7635,1.0,5.75017371,14060.483259999999,30172.710860000007,0.6078193098337709,-16112.227600000007
600678,2725611.9,2725611.9,0.44898000000000005,39248.81136,29300.32793,654146.856,195916.9834,47215.99299,0.23508,111232.2216,0.602059991,5.857828206000001,5043.881102,9948.48343,0.30153726971041184,-4904.602328
600881,10282587.54,10364034.35,0.063333,150125.7781,66836.81901,5552597.272000001,1163269.128,196592.4827,1.085,64671.57434,0.0,5.2469499630000005,83039.0922,83288.95908999999,0.6139180412430548,-249.86688999999024
600883,1803712.32,1803712.32,0.24026,27055.6848,14429.698559999999,1010078.8990000001,265145.711,56476.03645,0.23014,65637.09132,0.9542425090000001,6.849557514,26211.547430000002,12625.98624,0.6761665230749435,13585.561190000002
519,7106774.41,10611299.44,0.049587,47970.727269999996,49747.42087,2771642.02,735870.9563,134664.385,1.25874,206071.4351,1.255272505,5.9,64349.31989,-1776.693600000006,0.47295172424720877,66126.01349000001
600879,14457837.19,16261242.28,0.020478,104096.4278,75903.64525,4048194.413,1022169.089,153325.3634,0.26735,239528.0988,0.903089987,4.81,76005.45568,28192.782550000004,0.334946135956237,47812.673129999996
760,981666.4,1157766.94,0.006711,6920.74812,5889.9984,549733.184,153925.2915,29553.65597,0.17928,39966.11477,0.84509804,5.65,9272.604737,1030.7497199999998,0.6899561266919841,8241.855017
584,3751440.85,3845543.61,0.062712,38764.88878,33294.03754,2138321.285,629735.6183,168769.1457,0.58258,9075.48292,0.301029996,5.0129862769999995,5744.3938020000005,5470.851240000004,0.7116207245029279,273.5425619999969
1696,5186665.27,6664056.67,0.096045,60943.316920000005,51866.6527,1763466.1919999998,430285.7508,86917.72166,0.9488700000000001,353994.6903,0.0,5.401295759,10801.23042,9076.664220000006,0.40212926953707806,1724.5661999999938
200550,2067440.0,2067440.0,0.013491,13955.22,16022.66,1033720.0,263081.74,50248.61234,0.14801,66923.0328,1.5051499780000002,5.99,35779.989610000004,-2067.4400000000005,0.5987082531999999,37847.42961000001
600660,48051642.1,48051642.1,0.079172,792852.0947,252271.121,10090844.84,2790118.599,705900.0054,0.8222200000000001,1823559.8180000002,0.6989700040000001,6.24236722,1080080.785,540580.9737,0.25720673377977393,539499.8113
200055,1459670.08,1459670.08,0.089404,18537.810019999997,14049.324519999998,729835.04,210192.4915,39726.3809,0.33150999999999997,17545.23436,1.113943352,6.256566727,6746.1937,4488.485499999999,0.6215374591806938,2257.708200000001
601882,3784500.0,3784500.0,0.031294999999999996,59795.1,18922.5,1097505.0,329251.5,78032.6055,0.3316,209926.215,1.4471580309999998,5.902523011,58897.4166,40872.6,0.36460549280000004,18024.8166
200986,417777.75,1228182.75,0.056522,5932.44405,4438.888594,87733.3275,13510.93244,3148.047257,0.46531999999999996,36317.363919999996,1.322219295,4.686270872,3242.5088960000003,1493.555456,0.2225445512807477,1748.9534400000002
603169,6095070.4,6140774.75,0.035461,42360.73928,44189.2604,2255176.048,634832.0575,130775.4038,0.34721,242806.2336,1.431363764,6.42,119884.3107,-1828.5211199999976,0.45640182161442466,121712.83181999999
600711,8039975.49,12209500.89,0.135193,140699.5711,45224.86213,1929594.118,328031.0,52156.929000000004,0.9214200000000001,398762.2991,1.477121255,5.740654888,177010.1104,95474.70897,0.2599857446837067,81535.40143
603690,3004015.84,8437829.91,0.481364,32293.170280000002,28538.15048,540722.8512,106792.7631,28940.8388,0.28191,40417.20527,0.301029996,5.968921022999999,4468.473562,3755.019800000002,0.20115429335461826,713.4537619999983
601212,7230004.31,27249570.2,0.098508,129417.0771,52417.53125,2458201.465,384708.5293,93099.4641,0.31267,73573.83954,1.146128036,5.870135446,138984.1804,76999.54585,0.3613899771301464,61984.63455000002
